k,feature,mean_abs_shap
1,cat__static__opened_by_Opened by  58,0.0017319299513474107
1,cat__static__opened_by_Opened by  59,0.0040772445499897
1,cat__static__opened_by_Opened by  62,0.013311127200722694
1,cat__static__opened_by_Opened by  70,0.00018607806123327464
1,cat__static__opened_by_Opened by  8,0.0012667677365243435
1,cat__static__opened_by_Opened by  9,0.00048301619244739413
1,cat__static__opened_by_Opened by  94,0.0
1,cat__static__opened_by___MISSING__,0.0017531446646898985
1,cat__static__opened_by_infrequent_sklearn,0.002543255453929305
1,cat__static__sys_created_by_Created by 10,0.004633985925465822
1,cat__static__sys_created_by_Created by 101,0.0
1,cat__static__sys_created_by_Created by 107,0.0033850129693746567
1,cat__static__sys_created_by_Created by 108,0.0
1,cat__static__sys_created_by_Created by 109,0.0007070638821460307
1,cat__static__sys_created_by_Created by 113,0.0
1,cat__static__sys_created_by_Created by 114,0.0
1,cat__static__sys_created_by_Created by 12,0.0
1,cat__static__sys_created_by_Created by 120,0.0008450914174318314
1,cat__static__sys_created_by_Created by 129,0.0009440674912184477
1,cat__static__sys_created_by_Created by 13,0.012551814317703247
1,cat__static__sys_created_by_Created by 130,0.0017635418334975839
1,cat__static__sys_created_by_Created by 140,0.00021207836107350886
1,cat__static__sys_created_by_Created by 158,0.0
1,cat__static__sys_created_by_Created by 167,0.0007221894920803607
1,cat__static__sys_created_by_Created by 169,1.1595894648053218e-05
1,cat__static__sys_created_by_Created by 171,0.0005526517052203417
1,cat__static__sys_created_by_Created by 172,0.00011808977433247492
1,cat__static__sys_created_by_Created by 18,0.0006270958692766726
1,cat__static__sys_created_by_Created by 188,0.0
1,cat__static__sys_created_by_Created by 190,0.0
1,cat__static__sys_created_by_Created by 192,6.610820855712518e-05
1,cat__static__sys_created_by_Created by 193,0.0
1,cat__static__sys_created_by_Created by 199,0.0
1,cat__static__sys_created_by_Created by 20,0.0008936350932344794
1,cat__static__sys_created_by_Created by 202,0.0
1,cat__static__sys_created_by_Created by 216,0.0036628562957048416
1,cat__static__sys_created_by_Created by 217,3.5243763704784214e-05
1,cat__static__sys_created_by_Created by 221,0.0
1,cat__static__sys_created_by_Created by 23,0.0
1,cat__static__sys_created_by_Created by 233,6.750738248229027e-05
1,cat__static__sys_created_by_Created by 25,0.0
1,cat__static__sys_created_by_Created by 30,0.0001732412347337231
1,cat__static__sys_created_by_Created by 31,1.3905112609791104e-05
1,cat__static__sys_created_by_Created by 33,0.005795961711555719
1,cat__static__sys_created_by_Created by 34,0.0007462576031684875
1,cat__static__sys_created_by_Created by 45,0.0012406496098265052
1,cat__static__sys_created_by_Created by 47,0.0
1,cat__static__sys_created_by_Created by 5,0.0
1,cat__static__sys_created_by_Created by 52,0.0028610622975975275
1,cat__static__sys_created_by_Created by 6,0.001680062967352569
1,cat__static__sys_created_by_Created by 62,0.008066308684647083
1,cat__static__sys_created_by_Created by 79,0.0
1,cat__static__sys_created_by_Created by 81,0.004529872443526983
1,cat__static__sys_created_by_Created by 89,0.00110586395021528
1,cat__static__sys_created_by_Created by 98,0.004175002686679363
1,cat__static__sys_created_by___MISSING__,0.050624970346689224
1,cat__static__sys_created_by_infrequent_sklearn,0.0011122504947707057
1,cat__static__notify_Do Not Notify,0.0
1,cat__static__notify_Send Email,0.0
1,cat__dyn_cat__activity_Active,0.03935274854302406
1,cat__dyn_cat__activity_Awaiting Problem,0.0
1,cat__dyn_cat__activity_Awaiting User Info,0.04008954390883446
1,cat__dyn_cat__activity_New,0.00245951977558434
1,cat__dyn_cat__activity_infrequent_sklearn,0.0
1,cat__dyn_cat__activity_prev_Active,0.0006604111986234784
1,cat__dyn_cat__activity_prev_Awaiting Problem,0.0
1,cat__dyn_cat__activity_prev_Awaiting User Info,0.002522367285564542
1,cat__dyn_cat__activity_prev_New,0.0007007219828665257
1,cat__dyn_cat__activity_prev___MISSING__,0.0
1,cat__dyn_cat__resource_Group 10,0.016018524765968323
1,cat__dyn_cat__resource_Group 12,0.00980798527598381
1,cat__dyn_cat__resource_Group 15,0.0013333638198673725
1,cat__dyn_cat__resource_Group 19,0.000764347380027175
1,cat__dyn_cat__resource_Group 20,0.024406082928180695
1,cat__dyn_cat__resource_Group 21,0.0
1,cat__dyn_cat__resource_Group 22,0.006482881959527731
1,cat__dyn_cat__resource_Group 23,0.024817543104290962
1,cat__dyn_cat__resource_Group 24,0.027494342997670174
1,cat__dyn_cat__resource_Group 25,0.00045874647912569344
1,cat__dyn_cat__resource_Group 27,0.013677657581865788
1,cat__dyn_cat__resource_Group 28,0.006661106366664171
1,cat__dyn_cat__resource_Group 29,0.005450365133583546
1,cat__dyn_cat__resource_Group 3,0.0005329588311724365
1,cat__dyn_cat__resource_Group 30,0.0031879073940217495
1,cat__dyn_cat__resource_Group 31,0.0002795237232930958
1,cat__dyn_cat__resource_Group 33,9.701314411358908e-05
1,cat__dyn_cat__resource_Group 34,0.0005119440029375255
