calibrator,cohort,k,n_k,base_rate_k,mean_pred,auc,brier,ece,mce,bias
platt_then_prior_shift,variable,7,682,0.6730205278592375,0.5703634088572365,0.86594956866653,0.15869385462424204,0.11983942263066709,0.2779621981374401,-0.10265711900200113
platt_then_prior_shift,variable,8,478,0.7301255230125523,0.628655434463702,0.8873858865862597,0.1434305705268859,0.10815537638132704,0.4381101725890156,-0.10147008854885035
platt_then_prior_shift,fixed,1,478,0.7301255230125523,0.14964711929214114,0.6184669376513183,0.55173378480312,0.5950196557192036,0.6414022054118765,-0.5804784037204112
platt_then_prior_shift,fixed,2,478,0.7301255230125523,0.2145853421912321,0.6311499078207947,0.49988253561026313,0.5378623135736611,0.73929909171902,-0.51554018082132
platt_then_prior_shift,fixed,3,478,0.7301255230125523,0.2979448083037104,0.6924768441394016,0.41819378840693106,0.44624023069740676,0.5993086139161447,-0.43218071470884195
platt_then_prior_shift,fixed,4,478,0.7301255230125523,0.34564262698132897,0.7250394260456231,0.37104879110873407,0.3949696883248912,0.5338635224683079,-0.3844828960312233
platt_then_prior_shift,fixed,5,478,0.7301255230125523,0.4233219765108376,0.7718398080895582,0.3026249899892629,0.3207471685557704,0.5148064625296138,-0.30680354650171476
platt_then_prior_shift,fixed,6,478,0.7301255230125523,0.48316573660802226,0.8030252548810555,0.25499486623855266,0.26111697619952573,0.4806420187930329,-0.24695978640453015
platt_then_prior_shift,fixed,7,478,0.7301255230125523,0.5653997943637521,0.8507585349059328,0.18725564122032548,0.18154711701780532,0.4164772333407142,-0.16472572864880022
platt_then_prior_shift,fixed,8,478,0.7301255230125523,0.628655434463702,0.8873858865862597,0.1434305705268859,0.10815537638132704,0.4381101725890156,-0.10147008854885035
prior_shift_oracle,variable,1,5707,0.23199579463816367,0.1468756583850918,0.7482317185390134,0.160477403104364,0.08827989239993098,0.21921535299908013,-0.08512013625307185
prior_shift_oracle,variable,2,3587,0.35098968497351546,0.22854837975048195,0.7121745767245591,0.20856977404615107,0.1291275498036324,0.17658866948785276,-0.12244130522303351
prior_shift_oracle,variable,3,2555,0.43796477495107633,0.3284576752209651,0.7618238155336664,0.19952063655398186,0.11497616326986541,0.15934791379265567,-0.10950709973011118
prior_shift_oracle,variable,4,1829,0.5079278294149808,0.39835433737345616,0.7901758162899175,0.1953797446516059,0.11496088878374075,0.19123226273986477,-0.1095734920415247
prior_shift_oracle,variable,5,1346,0.5638930163447251,0.48330074419111746,0.8264662774699069,0.1739492756437973,0.09139727510104947,0.1920352213520008,-0.08059227215360765
prior_shift_oracle,variable,6,934,0.6231263383297645,0.5423540046684464,0.8442478912839737,0.16759428410925833,0.10108141506817653,0.24261207769327175,-0.08077233366131809
prior_shift_oracle,variable,7,682,0.6730205278592375,0.6054198863638639,0.86594956866653,0.1483594708502848,0.08684726620980858,0.2813542874601736,-0.0676006414953736
prior_shift_oracle,variable,8,478,0.7301255230125523,0.6579083447018347,0.8873858865862597,0.13319498795895782,0.08098124012815398,0.2990506932755383,-0.07221717831071751
prior_shift_oracle,fixed,1,478,0.7301255230125523,0.20643402354332518,0.6184669376513183,0.4866197782042912,0.5338765872155047,0.6684426622755865,-0.5236914994692272
prior_shift_oracle,fixed,2,478,0.7301255230125523,0.26936848225537346,0.6311499078207947,0.4405175642468472,0.4799503583344301,0.6080091619553218,-0.46075704075717894
prior_shift_oracle,fixed,3,478,0.7301255230125523,0.3492743181015974,0.6924768441394016,0.3668750761161669,0.394295474557341,0.5389785122565023,-0.38085120491095487
prior_shift_oracle,fixed,4,478,0.7301255230125523,0.39583573694185076,0.7250394260456231,0.32459975691068255,0.3446410605568912,0.4952879976009138,-0.33428978607070153
prior_shift_oracle,fixed,5,478,0.7301255230125523,0.4688834324590508,0.7718398080895582,0.26539380108851124,0.27065310108478985,0.45300632596901,-0.2612420905535015
prior_shift_oracle,fixed,6,478,0.7301255230125523,0.5243626593091271,0.8030252548810555,0.225408748277375,0.21951653312049374,0.40868161213736576,-0.20576286370342517
prior_shift_oracle,fixed,7,478,0.7301255230125523,0.600505603897347,0.8507585349059328,0.16906092822679353,0.1441841561838587,0.33419039030031295,-0.12961991911520537
prior_shift_oracle,fixed,8,478,0.7301255230125523,0.6579083447018347,0.8873858865862597,0.13319498795895782,0.08098124012815398,0.2990506932755383,-0.07221717831071751
